fecha,positivo,positivo_rapida,positivo_molecular,positivo_antigenica,muestra,muestra_rapida,muestra_molecular,muestra_antigenica,sintomaticos,defunciones,inicio,inicio_molecular,inicio_rapida,inicio_antigenica,recuperado,total_positivo,total_positivo_rapida,total_positivo_molecular,total_positivo_antigenica,total_muestra,total_muestra_rapida,total_muestra_molecular,total_muestra_antigenica,total_recuperado,total_sintomaticos,total_defunciones,total_inicio,total_inicio_molecular,total_inicio_rapida,total_inicio_antigenica,posi,posi_rapida,posi_molecular,posi_antigenica,dias,primera_ola_positivo,segunda_ola_positivo,primera_ola_defunciones,segunda_ola_defunciones,primera_ola_tasamolecular,segunda_ola_tasamolecular
2020-03-06,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,1,,229,1,4,.23489933,.18556701
2020-03-08,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,,,,,2,,185,3,2,.28,.33333334
2020-03-10,,,,,,,,,,,2,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,,,,,3,,193,0,5,.23888889,.32911393
2020-03-13,1,0,1,0,3,0,3,0,1,0,,,,,,1,0,1,0,3,0,3,0,0,1,0,4,4,4,0,.33333334,,.33333334,,4,0,177,5,5,.14035088,.19047619
2020-03-14,0,0,0,0,1,1,0,0,0,0,1,1,1,0,,1,0,1,0,4,1,3,0,0,1,0,5,5,5,0,0,0,,,5,0,339,7,8,.12,
2020-03-15,0,0,0,0,18,3,15,0,0,0,3,3,3,0,,1,0,1,0,22,4,18,0,0,1,0,8,8,8,0,0,0,0,,6,0,245,1,6,.069892474,.29090908
2020-03-16,0,0,0,0,2,0,2,0,0,0,2,2,2,0,,1,0,1,0,24,4,20,0,0,1,0,10,10,10,0,0,,0,,7,0,47,2,7,,
2020-03-17,0,0,0,0,2,0,1,0,0,1,1,1,1,0,,1,0,1,0,26,4,21,0,0,1,1,11,11,11,0,0,,0,,8,0,233,2,12,.12807882,.23636363
2020-03-18,3,0,3,0,14,0,14,0,3,0,5,5,5,0,,4,0,4,0,40,4,35,0,0,4,1,16,16,16,0,.21428572,,.21428572,,9,0,335,2,9,.1255814,.41772151
2020-03-19,0,0,0,0,4,2,2,0,0,0,2,2,2,0,,4,0,4,0,44,6,37,0,0,4,1,18,18,18,0,0,0,0,,10,0,451,3,10,.14906833,.30120483
2020-03-20,1,1,0,0,13,2,11,0,0,0,6,6,6,0,,5,1,4,0,57,8,48,0,0,4,1,24,24,24,0,.07692308,.5,0,,11,0,308,2,3,.17213115,.22941177
2020-03-21,0,0,0,0,10,0,10,0,0,0,3,3,3,0,,5,1,4,0,67,8,58,0,0,4,1,27,27,27,0,0,,0,,12,0,412,2,11,.15833333,
